date,city,product,category,tier,population_weight,demand_units
2022-01-03,Jalgaon,Cetirizine,OTC,tier2,0.22,128
2022-01-03,Jalgaon,Metformin,chronic,tier2,0.22,92
2022-01-03,Jalgaon,Insulin Glargine,chronic,tier2,0.22,54
2022-01-03,Jalgaon,Omeprazole,gastro,tier2,0.22,86
2022-01-03,Jalgaon,Amoxicillin,antibiotic,tier2,0.22,119
2022-01-03,Jalgaon,Vitamin D3,chronic,tier2,0.22,70
2022-01-03,Jalgaon,Ibuprofen,fever_cold,tier2,0.22,182
2022-01-03,Akola,Paracetamol,fever_cold,tier2,0.18,168
2022-01-03,Akola,Azithromycin,antibiotic,tier2,0.18,87
2022-01-03,Akola,ORS Sachets,OTC,tier2,0.18,131
2022-01-03,Akola,Cetirizine,OTC,tier2,0.18,67
2022-01-03,Akola,Metformin,chronic,tier2,0.18,78
2022-01-03,Akola,Insulin Glargine,chronic,tier2,0.18,48
2022-01-03,Akola,Omeprazole,gastro,tier2,0.18,63
2022-01-03,Akola,Amoxicillin,antibiotic,tier2,0.18,106
2022-01-03,Akola,Vitamin D3,chronic,tier2,0.18,54
2022-01-03,Akola,Ibuprofen,fever_cold,tier2,0.18,131
2022-01-03,Latur,Paracetamol,fever_cold,tier2,0.17,124
2022-01-03,Latur,Azithromycin,antibiotic,tier2,0.17,93
2022-01-03,Latur,ORS Sachets,OTC,tier2,0.17,86
2022-01-03,Latur,Cetirizine,OTC,tier2,0.17,81
2022-01-03,Latur,Metformin,chronic,tier2,0.17,68
2022-01-03,Latur,Insulin Glargine,chronic,tier2,0.17,44
2022-01-03,Latur,Omeprazole,gastro,tier2,0.17,61
2022-01-03,Latur,Amoxicillin,antibiotic,tier2,0.17,103
2022-01-03,Latur,Vitamin D3,chronic,tier2,0.17,53
2022-01-03,Latur,Ibuprofen,fever_cold,tier2,0.17,114
2022-01-03,Dhule,Paracetamol,fever_cold,tier2,0.16,141
2022-01-03,Dhule,Azithromycin,antibiotic,tier2,0.16,100
2022-01-03,Dhule,ORS Sachets,OTC,tier2,0.16,73
2022-01-03,Dhule,Cetirizine,OTC,tier2,0.16,74
2022-01-03,Dhule,Metformin,chronic,tier2,0.16,68
2022-01-03,Dhule,Insulin Glargine,chronic,tier2,0.16,40
2022-01-03,Dhule,Omeprazole,gastro,tier2,0.16,55
2022-01-03,Dhule,Amoxicillin,antibiotic,tier2,0.16,85
2022-01-03,Dhule,Vitamin D3,chronic,tier2,0.16,49
2022-01-03,Dhule,Ibuprofen,fever_cold,tier2,0.16,127
2022-01-03,Ahmednagar,Paracetamol,fever_cold,tier2,0.2,177
2022-01-03,Ahmednagar,Azithromycin,antibiotic,tier2,0.2,112
2022-01-03,Ahmednagar,ORS Sachets,OTC,tier2,0.2,108
2022-01-03,Ahmednagar,Cetirizine,OTC,tier2,0.2,93
2022-01-03,Ahmednagar,Metformin,chronic,tier2,0.2,85
2022-01-03,Ahmednagar,Insulin Glargine,chronic,tier2,0.2,46
2022-01-03,Ahmednagar,Omeprazole,gastro,tier2,0.2,93
2022-01-03,Ahmednagar,Amoxicillin,antibiotic,tier2,0.2,133
2022-01-03,Ahmednagar,Vitamin D3,chronic,tier2,0.2,56
2022-01-03,Ahmednagar,Ibuprofen,fever_cold,tier2,0.2,164
2022-01-03,Chandrapur,Paracetamol,fever_cold,tier2,0.15,117
2022-01-03,Chandrapur,Azithromycin,antibiotic,tier2,0.15,89
2022-01-03,Chandrapur,ORS Sachets,OTC,tier2,0.15,106
2022-01-03,Chandrapur,Cetirizine,OTC,tier2,0.15,61
2022-01-03,Chandrapur,Metformin,chronic,tier2,0.15,66
2022-01-03,Chandrapur,Insulin Glargine,chronic,tier2,0.15,37
2022-01-03,Chandrapur,Omeprazole,gastro,tier2,0.15,63
2022-01-03,Chandrapur,Amoxicillin,antibiotic,tier2,0.15,116
2022-01-03,Chandrapur,Vitamin D3,chronic,tier2,0.15,44
2022-01-03,Chandrapur,Ibuprofen,fever_cold,tier2,0.15,107
2022-01-03,Parbhani,Paracetamol,fever_cold,tier2,0.14,110
2022-01-03,Parbhani,Azithromycin,antibiotic,tier2,0.14,68
2022-01-03,Parbhani,ORS Sachets,OTC,tier2,0.14,83
2022-01-03,Parbhani,Cetirizine,OTC,tier2,0.14,66
2022-01-03,Parbhani,Metformin,chronic,tier2,0.14,60
2022-01-03,Parbhani,Insulin Glargine,chronic,tier2,0.14,35
2022-01-03,Parbhani,Omeprazole,gastro,tier2,0.14,55
2022-01-03,Parbhani,Amoxicillin,antibiotic,tier2,0.14,104
2022-01-03,Parbhani,Vitamin D3,chronic,tier2,0.14,41
2022-01-03,Parbhani,Ibuprofen,fever_cold,tier2,0.14,137
2022-01-03,Ichalkaranji,Paracetamol,fever_cold,tier2,0.13,119
2022-01-03,Ichalkaranji,Azithromycin,antibiotic,tier2,0.13,63
2022-01-03,Ichalkaranji,ORS Sachets,OTC,tier2,0.13,65
2022-01-03,Ichalkaranji,Cetirizine,OTC,tier2,0.13,62
2022-01-03,Ichalkaranji,Metformin,chronic,tier2,0.13,54
2022-01-03,Ichalkaranji,Insulin Glargine,chronic,tier2,0.13,32
2022-01-03,Ichalkaranji,Omeprazole,gastro,tier2,0.13,53
2022-01-03,Ichalkaranji,Amoxicillin,antibiotic,tier2,0.13,81
2022-01-03,Ichalkaranji,Vitamin D3,chronic,tier2,0.13,37
2022-01-03,Ichalkaranji,Ibuprofen,fever_cold,tier2,0.13,85
2022-01-03,Bid,Paracetamol,fever_cold,tier2,0.12,99
2022-01-03,Bid,Azithromycin,antibiotic,tier2,0.12,71
2022-01-03,Bid,ORS Sachets,OTC,tier2,0.12,74
2022-01-03,Bid,Cetirizine,OTC,tier2,0.12,46
2022-01-03,Bid,Metformin,chronic,tier2,0.12,51
2022-01-03,Bid,Insulin Glargine,chronic,tier2,0.12,29
2022-01-03,Bid,Omeprazole,gastro,tier2,0.12,43
2022-01-03,Bid,Amoxicillin,antibiotic,tier2,0.12,77
2022-01-03,Bid,Vitamin D3,chronic,tier2,0.12,36
2022-01-03,Bid,Ibuprofen,fever_cold,tier2,0.12,82
2022-01-10,Mumbai,Paracetamol,fever_cold,metro,1.0,2983
2022-01-10,Mumbai,Azithromycin,antibiotic,metro,1.0,1921
2022-01-10,Mumbai,ORS Sachets,OTC,metro,1.0,2325
2022-01-10,Mumbai,Cetirizine,OTC,metro,1.0,1690
2022-01-10,Mumbai,Metformin,chronic,metro,1.0,1304
2022-01-10,Mumbai,Insulin Glargine,chronic,metro,1.0,762
2022-01-10,Mumbai,Omeprazole,gastro,metro,1.0,1367
2022-01-10,Mumbai,Amoxicillin,antibiotic,metro,1.0,2229
2022-01-10,Mumbai,Vitamin D3,chronic,metro,1.0,1026
2022-01-10,Mumbai,Ibuprofen,fever_cold,metro,1.0,3546
2022-01-10,Pune,Paracetamol,fever_cold,metro,0.75,2283
2022-01-10,Pune,Azithromycin,antibiotic,metro,0.75,1534
2022-01-10,Pune,ORS Sachets,OTC,metro,0.75,1715
2022-01-10,Pune,Cetirizine,OTC,metro,0.75,1213
2022-01-10,Pune,Metformin,chronic,metro,0.75,1033
2022-01-10,Pune,Insulin Glargine,chronic,metro,0.75,623
2022-01-10,Pune,Omeprazole,gastro,metro,0.75,900
2022-01-10,Pune,Amoxicillin,antibiotic,metro,0.75,1530
2022-01-10,Pune,Vitamin D3,chronic,metro,0.75,732
2022-01-10,Pune,Ibuprofen,fever_cold,metro,0.75,1936
2022-01-10,Nagpur,Paracetamol,fever_cold,tier1,0.55,1073
2022-01-10,Nagpur,Azithromycin,antibiotic,tier1,0.55,422
2022-01-10,Nagpur,ORS Sachets,OTC,tier1,0.55,667
2022-01-10,Nagpur,Cetirizine,OTC,tier1,0.55,366
2022-01-10,Nagpur,Metformin,chronic,tier1,0.55,414
2022-01-10,Nagpur,Insulin Glargine,chronic,tier1,0.55,255
2022-01-10,Nagpur,Omeprazole,gastro,tier1,0.55,396
2022-01-10,Nagpur,Amoxicillin,antibiotic,tier1,0.55,553
2022-01-10,Nagpur,Vitamin D3,chronic,tier1,0.55,292
2022-01-10,Nagpur,Ibuprofen,fever_cold,tier1,0.55,827
2022-01-10,Thane,Paracetamol,fever_cold,tier1,0.5,734
2022-01-10,Thane,Azithromycin,antibiotic,tier1,0.5,508
2022-01-10,Thane,ORS Sachets,OTC,tier1,0.5,554
2022-01-10,Thane,Cetirizine,OTC,tier1,0.5,380
2022-01-10,Thane,Metformin,chronic,tier1,0.5,426
2022-01-10,Thane,Insulin Glargine,chronic,tier1,0.5,227
2022-01-10,Thane,Omeprazole,gastro,tier1,0.5,285
2022-01-10,Thane,Amoxicillin,antibiotic,tier1,0.5,590
2022-01-10,Thane,Vitamin D3,chronic,tier1,0.5,266
2022-01-10,Thane,Ibuprofen,fever_cold,tier1,0.5,764
2022-01-10,Nashik,Paracetamol,fever_cold,tier1,0.42,613
2022-01-10,Nashik,Azithromycin,antibiotic,tier1,0.42,410
2022-01-10,Nashik,ORS Sachets,OTC,tier1,0.42,497
2022-01-10,Nashik,Cetirizine,OTC,tier1,0.42,382
2022-01-10,Nashik,Metformin,chronic,tier1,0.42,304
2022-01-10,Nashik,Insulin Glargine,chronic,tier1,0.42,182
2022-01-10,Nashik,Omeprazole,gastro,tier1,0.42,286
2022-01-10,Nashik,Amoxicillin,antibiotic,tier1,0.42,447
2022-01-10,Nashik,Vitamin D3,chronic,tier1,0.42,251
2022-01-10,Nashik,Ibuprofen,fever_cold,tier1,0.42,615
2022-01-10,Aurangabad,Paracetamol,fever_cold,tier1,0.38,526
2022-01-10,Aurangabad,Azithromycin,antibiotic,tier1,0.38,418
2022-01-10,Aurangabad,ORS Sachets,OTC,tier1,0.38,551
2022-01-10,Aurangabad,Cetirizine,OTC,tier1,0.38,352
2022-01-10,Aurangabad,Metformin,chronic,tier1,0.38,270
2022-01-10,Aurangabad,Insulin Glargine,chronic,tier1,0.38,163
2022-01-10,Aurangabad,Omeprazole,gastro,tier1,0.38,306
2022-01-10,Aurangabad,Amoxicillin,antibiotic,tier1,0.38,402
2022-01-10,Aurangabad,Vitamin D3,chronic,tier1,0.38,214
2022-01-10,Aurangabad,Ibuprofen,fever_cold,tier1,0.38,576
2022-01-10,Solapur,Paracetamol,fever_cold,tier2,0.3,235
2022-01-10,Solapur,Azithromycin,antibiotic,tier2,0.3,161
2022-01-10,Solapur,ORS Sachets,OTC,tier2,0.3,92
2022-01-10,Solapur,Cetirizine,OTC,tier2,0.3,118
2022-01-10,Solapur,Metformin,chronic,tier2,0.3,124
2022-01-10,Solapur,Insulin Glargine,chronic,tier2,0.3,68
2022-01-10,Solapur,Omeprazole,gastro,tier2,0.3,136
2022-01-10,Solapur,Amoxicillin,antibiotic,tier2,0.3,157
2022-01-10,Solapur,Vitamin D3,chronic,tier2,0.3,88
2022-01-10,Solapur,Ibuprofen,fever_cold,tier2,0.3,233
2022-01-10,Kolhapur,Paracetamol,fever_cold,tier2,0.28,277
2022-01-10,Kolhapur,Azithromycin,antibiotic,tier2,0.28,125
2022-01-10,Kolhapur,ORS Sachets,OTC,tier2,0.28,197
2022-01-10,Kolhapur,Cetirizine,OTC,tier2,0.28,126
2022-01-10,Kolhapur,Metformin,chronic,tier2,0.28,112
2022-01-10,Kolhapur,Insulin Glargine,chronic,tier2,0.28,69
2022-01-10,Kolhapur,Omeprazole,gastro,tier2,0.28,111
2022-01-10,Kolhapur,Amoxicillin,antibiotic,tier2,0.28,164
2022-01-10,Kolhapur,Vitamin D3,chronic,tier2,0.28,84
2022-01-10,Kolhapur,Ibuprofen,fever_cold,tier2,0.28,207
2022-01-10,Amravati,Paracetamol,fever_cold,tier2,0.25,218
2022-01-10,Amravati,Azithromycin,antibiotic,tier2,0.25,146
2022-01-10,Amravati,ORS Sachets,OTC,tier2,0.25,186
2022-01-10,Amravati,Cetirizine,OTC,tier2,0.25,96
2022-01-10,Amravati,Metformin,chronic,tier2,0.25,116
2022-01-10,Amravati,Insulin Glargine,chronic,tier2,0.25,54
2022-01-10,Amravati,Omeprazole,gastro,tier2,0.25,96
2022-01-10,Amravati,Amoxicillin,antibiotic,tier2,0.25,169
2022-01-10,Amravati,Vitamin D3,chronic,tier2,0.25,76
2022-01-10,Amravati,Ibuprofen,fever_cold,tier2,0.25,180
2022-01-10,Nanded,Paracetamol,fever_cold,tier2,0.22,186
2022-01-10,Nanded,Azithromycin,antibiotic,tier2,0.22,112
2022-01-10,Nanded,ORS Sachets,OTC,tier2,0.22,120
2022-01-10,Nanded,Cetirizine,OTC,tier2,0.22,109
2022-01-10,Nanded,Metformin,chronic,tier2,0.22,94
2022-01-10,Nanded,Insulin Glargine,chronic,tier2,0.22,51
2022-01-10,Nanded,Omeprazole,gastro,tier2,0.22,94
2022-01-10,Nanded,Amoxicillin,antibiotic,tier2,0.22,144
2022-01-10,Nanded,Vitamin D3,chronic,tier2,0.22,69
2022-01-10,Nanded,Ibuprofen,fever_cold,tier2,0.22,180
2022-01-10,Sangli,Paracetamol,fever_cold,tier2,0.2,158
2022-01-10,Sangli,Azithromycin,antibiotic,tier2,0.2,101
2022-01-10,Sangli,ORS Sachets,OTC,tier2,0.2,133
2022-01-10,Sangli,Cetirizine,OTC,tier2,0.2,97
2022-01-10,Sangli,Metformin,chronic,tier2,0.2,84
2022-01-10,Sangli,Insulin Glargine,chronic,tier2,0.2,48
2022-01-10,Sangli,Omeprazole,gastro,tier2,0.2,88
2022-01-10,Sangli,Amoxicillin,antibiotic,tier2,0.2,117
2022-01-10,Sangli,Vitamin D3,chronic,tier2,0.2,62
2022-01-10,Sangli,Ibuprofen,fever_cold,tier2,0.2,150
2022-01-10,Jalgaon,Paracetamol,fever_cold,tier2,0.22,186
2022-01-10,Jalgaon,Azithromycin,antibiotic,tier2,0.22,134
2022-01-10,Jalgaon,ORS Sachets,OTC,tier2,0.22,148
2022-01-10,Jalgaon,Cetirizine,OTC,tier2,0.22,109
2022-01-10,Jalgaon,Metformin,chronic,tier2,0.22,98
2022-01-10,Jalgaon,Insulin Glargine,chronic,tier2,0.22,53
2022-01-10,Jalgaon,Omeprazole,gastro,tier2,0.22,92
2022-01-10,Jalgaon,Amoxicillin,antibiotic,tier2,0.22,133
2022-01-10,Jalgaon,Vitamin D3,chronic,tier2,0.22,67
2022-01-10,Jalgaon,Ibuprofen,fever_cold,tier2,0.22,167
2022-01-10,Akola,Paracetamol,fever_cold,tier2,0.18,157
2022-01-10,Akola,Azithromycin,antibiotic,tier2,0.18,104
2022-01-10,Akola,ORS Sachets,OTC,tier2,0.18,95
2022-01-10,Akola,Cetirizine,OTC,tier2,0.18,101
2022-01-10,Akola,Metformin,chronic,tier2,0.18,72
2022-01-10,Akola,Insulin Glargine,chronic,tier2,0.18,41
2022-01-10,Akola,Omeprazole,gastro,tier2,0.18,78
2022-01-10,Akola,Amoxicillin,antibiotic,tier2,0.18,124
2022-01-10,Akola,Vitamin D3,chronic,tier2,0.18,56
2022-01-10,Akola,Ibuprofen,fever_cold,tier2,0.18,147
2022-01-10,Latur,Paracetamol,fever_cold,tier2,0.17,147
2022-01-10,Latur,Azithromycin,antibiotic,tier2,0.17,82
2022-01-10,Latur,ORS Sachets,OTC,tier2,0.17,103
2022-01-10,Latur,Cetirizine,OTC,tier2,0.17,70
2022-01-10,Latur,Metformin,chronic,tier2,0.17,75
2022-01-10,Latur,Insulin Glargine,chronic,tier2,0.17,41
2022-01-10,Latur,Omeprazole,gastro,tier2,0.17,61
2022-01-10,Latur,Amoxicillin,antibiotic,tier2,0.17,103
2022-01-10,Latur,Vitamin D3,chronic,tier2,0.17,52
2022-01-10,Latur,Ibuprofen,fever_cold,tier2,0.17,123
2022-01-10,Dhule,Paracetamol,fever_cold,tier2,0.16,127
2022-01-10,Dhule,Azithromycin,antibiotic,tier2,0.16,89
2022-01-10,Dhule,ORS Sachets,OTC,tier2,0.16,100
2022-01-10,Dhule,Cetirizine,OTC,tier2,0.16,68
2022-01-10,Dhule,Metformin,chronic,tier2,0.16,66
2022-01-10,Dhule,Insulin Glargine,chronic,tier2,0.16,39
2022-01-10,Dhule,Omeprazole,gastro,tier2,0.16,53
2022-01-10,Dhule,Amoxicillin,antibiotic,tier2,0.16,84
2022-01-10,Dhule,Vitamin D3,chronic,tier2,0.16,46
2022-01-10,Dhule,Ibuprofen,fever_cold,tier2,0.16,120
2022-01-10,Ahmednagar,Paracetamol,fever_cold,tier2,0.2,178
2022-01-10,Ahmednagar,Azithromycin,antibiotic,tier2,0.2,127
2022-01-10,Ahmednagar,ORS Sachets,OTC,tier2,0.2,135
2022-01-10,Ahmednagar,Cetirizine,OTC,tier2,0.2,88
2022-01-10,Ahmednagar,Metformin,chronic,tier2,0.2,84
2022-01-10,Ahmednagar,Insulin Glargine,chronic,tier2,0.2,46
2022-01-10,Ahmednagar,Omeprazole,gastro,tier2,0.2,78
2022-01-10,Ahmednagar,Amoxicillin,antibiotic,tier2,0.2,122
2022-01-10,Ahmednagar,Vitamin D3,chronic,tier2,0.2,61
2022-01-10,Ahmednagar,Ibuprofen,fever_cold,tier2,0.2,141
2022-01-10,Chandrapur,Paracetamol,fever_cold,tier2,0.15,136
2022-01-10,Chandrapur,Azithromycin,antibiotic,tier2,0.15,96
2022-01-10,Chandrapur,ORS Sachets,OTC,tier2,0.15,89
2022-01-10,Chandrapur,Cetirizine,OTC,tier2,0.15,71
2022-01-10,Chandrapur,Metformin,chronic,tier2,0.15,65
2022-01-10,Chandrapur,Insulin Glargine,chronic,tier2,0.15,35
2022-01-10,Chandrapur,Omeprazole,gastro,tier2,0.15,60
2022-01-10,Chandrapur,Amoxicillin,antibiotic,tier2,0.15,95
2022-01-10,Chandrapur,Vitamin D3,chronic,tier2,0.15,45
2022-01-10,Chandrapur,Ibuprofen,fever_cold,tier2,0.15,106
2022-01-10,Parbhani,Paracetamol,fever_cold,tier2,0.14,121
2022-01-10,Parbhani,Azithromycin,antibiotic,tier2,0.14,80
2022-01-10,Parbhani,ORS Sachets,OTC,tier2,0.14,102
2022-01-10,Parbhani,Cetirizine,OTC,tier2,0.14,70
2022-01-10,Parbhani,Metformin,chronic,tier2,0.14,65
2022-01-10,Parbhani,Insulin Glargine,chronic,tier2,0.14,32
2022-01-10,Parbhani,Omeprazole,gastro,tier2,0.14,59
2022-01-10,Parbhani,Amoxicillin,antibiotic,tier2,0.14,90
2022-01-10,Parbhani,Vitamin D3,chronic,tier2,0.14,47
2022-01-10,Parbhani,Ibuprofen,fever_cold,tier2,0.14,99
2022-01-10,Ichalkaranji,Paracetamol,fever_cold,tier2,0.13,103
2022-01-10,Ichalkaranji,Azithromycin,antibiotic,tier2,0.13,65
2022-01-10,Ichalkaranji,ORS Sachets,OTC,tier2,0.13,53
2022-01-10,Ichalkaranji,Cetirizine,OTC,tier2,0.13,55
2022-01-10,Ichalkaranji,Metformin,chronic,tier2,0.13,53
2022-01-10,Ichalkaranji,Insulin Glargine,chronic,tier2,0.13,31
2022-01-10,Ichalkaranji,Omeprazole,gastro,tier2,0.13,52
2022-01-10,Ichalkaranji,Amoxicillin,antibiotic,tier2,0.13,100
2022-01-10,Ichalkaranji,Vitamin D3,chronic,tier2,0.13,41
2022-01-10,Ichalkaranji,Ibuprofen,fever_cold,tier2,0.13,94
2022-01-10,Bid,Paracetamol,fever_cold,tier2,0.12,94
2022-01-10,Bid,Azithromycin,antibiotic,tier2,0.12,69
2022-01-10,Bid,ORS Sachets,OTC,tier2,0.12,58
2022-01-10,Bid,Cetirizine,OTC,tier2,0.12,66
2022-01-10,Bid,Metformin,chronic,tier2,0.12,53
2022-01-10,Bid,Insulin Glargine,chronic,tier2,0.12,28
2022-01-10,Bid,Omeprazole,gastro,tier2,0.12,39
2022-01-10,Bid,Amoxicillin,antibiotic,tier2,0.12,88
2022-01-10,Bid,Vitamin D3,chronic,tier2,0.12,36
2022-01-10,Bid,Ibuprofen,fever_cold,tier2,0.12,104
